"hive";"internal";"external";"board";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00353656109378739";3502;3318;3475;0;11858;4135;28438;45.7275;9.7127;;2894;9845;39;0;292;30;44;66;0;794;"2023-09-08 15:15:13+02"
"AAA00353656109378739";3488;3281;3425;0;11924;4128;28438;45.7275;9.7127;;2886;9844;40;0;135;40;12;40;135;682;"2023-09-08 15:30:21+02"
"AAA00353656109378739";3484;3243;3475;0;11989;4142;28369;45.7275;9.7127;290;2851;9841;40;0;0;6;16;38;0;735;"2023-09-08 15:45:23+02"
"AAA00353656109378739";3475;3218;3368;0;11924;4122;28369;45.7275;9.7127;290;2860;9841;41;0;247;8;5;14;0;847;"2023-09-08 16:00:31+02"
"AAA00353656109378739";3465;3175;3325;0;11924;4122;28334;45.7275;9.7127;290;2833;9839;41;0;225;78;20;78;225;733;"2023-09-08 16:15:38+02"
"AAA00353656109378739";3475;3137;3281;0;11924;4115;28265;45.7275;9.7127;290;2797;9838;41;0;157;12;28;68;0;1340;"2023-09-08 16:30:46+02"
"AAA00353656109378739";3463;3106;3256;0;11924;4128;28334;45.7275;9.7127;290;2784;9837;42;0;22;46;23;46;22;2288;"2023-09-08 16:45:52+02"
"AAA00353656109378739";3469;3093;3225;0;11924;4122;28265;45.7275;9.7127;290;2813;9836;42;0;292;9;15;55;0;2675;"2023-09-08 17:01:00+02"
"AAA00353656109378739";3486;3075;3206;0;11924;4115;28334;45.7275;9.7127;290;2765;9836;42;0;202;10;8;18;0;2242;"2023-09-08 17:16:07+02"
"AAA00353656109378739";3490;3062;3187;0;11924;4122;28300;45.7275;9.7127;290;2740;9836;42;0;292;8;5;16;0;1413;"2023-09-08 17:31:14+02"
"AAA00353656109378739";3490;3031;3168;0;11924;4115;28300;45.7275;9.7127;290;2744;9835;43;0;292;14;26;42;0;1193;"2023-09-08 17:46:28+02"
"AAA00353656109378739";3468;3012;3143;0;11924;4128;28265;45.7275;9.7127;290;2772;9834;43;0;292;0;2;9;0;718;"2023-09-08 18:01:35+02"
